timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
519050012,-18.448675,28.349998,101546.805,1.206544
519061646,-18.617783,28.349998,101548.805,1.2065678
519085611,-18.115744,28.349998,101542.8,1.2064964
519098463,-18.448675,28.349998,101546.805,1.206544
519111833,-18.369406,28.349998,101545.805,1.2065321
519140669,-18.448675,28.349998,101546.805,1.206544
519153120,-18.617783,28.349998,101548.805,1.2065678
519164893,-18.53323,28.349998,101547.805,1.206556
519188641,-18.53323,28.349998,101547.805,1.206556
519200922,-18.448675,28.349998,101546.805,1.206544
519212931,-18.115744,28.349998,101542.8,1.2064964
519236398,-18.786892,28.359999,101550.83,1.2065918
519249081,-18.53323,28.359999,101547.83,1.2065562
519261069,-18.53323,28.359999,101547.83,1.2065562
519284546,-18.786892,28.359999,101550.83,1.2065918
519297103,-18.53323,28.359999,101547.83,1.2065562
519308298,-18.45396,28.359999,101546.83,1.2065443
519332489,-18.538513,28.369999,101547.85,1.2065564
519345098,-18.702337,28.369999,101549.84,1.2065802
519357091,-18.786892,28.369999,101550.85,1.2065921
519380546,-18.290136,28.369999,101544.85,1.2065208
519393089,-18.702337,28.369999,101549.84,1.2065802
519404693,-18.45396,28.369999,101546.85,1.2065446
519428495,-18.623068,28.369999,101548.85,1.2065684
519441070,-18.538513,28.369999,101547.85,1.2065564
519452312,-18.45396,28.369999,101546.85,1.2065446
519476009,-18.369406,28.369999,101545.85,1.2065327
519487088,-18.538513,28.369999,101547.85,1.2065564
519499775,-18.369406,28.369999,101545.85,1.2065327
519524042,-18.950716,28.369999,101552.85,1.2066159
519535030,-18.786892,28.369999,101550.85,1.2065921
519547688,-18.205582,28.369999,101543.84,1.2065089
519571918,-18.45396,28.38,101546.875,1.2065449
519584012,-18.290136,28.38,101544.875,1.2065212
519595717,-18.871447,28.38,101551.875,1.2066042
519620048,-18.702337,28.369999,101549.84,1.2065802
519632005,-18.702337,28.369999,101549.84,1.2065802
519644008,-18.290136,28.369999,101544.85,1.2065208
519668017,-18.290136,28.38,101544.875,1.2065212
519679243,-18.871447,28.38,101551.875,1.2066042
519691910,-18.786892,28.38,101550.875,1.2065924
519716001,-18.623068,28.38,101548.875,1.2065686
519728011,-18.623068,28.38,101548.875,1.2065686
519739818,-18.45396,28.38,101546.875,1.2065449
519763742,-18.956001,28.39,101552.9,1.2066164
519775915,-18.792177,28.39,101550.9,1.2065927
519787687,-18.871447,28.39,101551.9,1.2066046
519811945,-18.956001,28.38,101552.875,1.2066162
519823520,-18.786892,28.38,101550.875,1.2065924
519836026,-18.290136,28.38,101544.875,1.2065212
519859937,-18.956001,28.39,101552.9,1.2066164
519873907,-18.459244,28.39,101546.9,1.2065451
519886532,-18.459244,28.39,101546.9,1.2065451
519913446,-18.786892,28.38,101550.875,1.2065924
519926330,-18.956001,28.38,101552.875,1.2066162
519939101,-18.538513,28.38,101547.875,1.2065568
519963590,-18.538513,28.38,101547.875,1.2065568
519977155,-18.707623,28.38,101549.87,1.2065804
519989406,-18.786892,28.38,101550.875,1.2065924
520017982,-18.623068,28.39,101548.9,1.206569
520030196,-19.040554,28.39,101553.9,1.2066283
520044557,-18.623068,28.39,101548.9,1.206569
520070298,-18.707623,28.38,101549.87,1.2065804
520083598,-18.786892,28.38,101550.875,1.2065924
520097912,-18.374691,28.38,101545.875,1.206533
520124815,-18.45396,28.38,101546.875,1.2065449
520138009,-18.45396,28.38,101546.875,1.2065449
520150361,-18.538513,28.38,101547.875,1.2065568
520177552,-18.45396,28.38,101546.875,1.2065449
520190437,-18.45396,28.38,101546.875,1.2065449
520204742,-18.707623,28.38,101549.87,1.2065804
520230098,-18.374691,28.38,101545.875,1.206533
520243057,-18.707623,28.38,101549.87,1.2065804
520256162,-18.538513,28.38,101547.875,1.2065568
520281935,-18.786892,28.38,101550.875,1.2065924
520294085,-18.374691,28.38,101545.875,1.206533
520306766,-18.871447,28.38,101551.875,1.2066042
520333604,-18.538513,28.38,101547.875,1.2065568
520346408,-18.538513,28.38,101547.875,1.2065568
520362407,-18.374691,28.38,101545.875,1.206533
520388696,-18.45396,28.38,101546.875,1.2065449
520402361,-18.45396,28.38,101546.875,1.2065449
520416814,-18.623068,28.38,101548.875,1.2065686
520442453,-18.538513,28.38,101547.875,1.2065568
520456242,-18.786892,28.38,101550.875,1.2065924
520468714,-18.707623,28.38,101549.87,1.2065804
520494084,-18.707623,28.38,101549.87,1.2065804
520506224,-18.041758,28.38,101541.875,1.2064854
520520370,-18.786892,28.38,101550.875,1.2065924
520546459,-18.290136,28.38,101544.875,1.2065212
520560507,-18.290136,28.38,101544.875,1.2065212
520573531,-18.786892,28.38,101550.875,1.2065924
520600656,-18.538513,28.38,101547.875,1.2065568
520613470,-18.538513,28.38,101547.875,1.2065568
520626817,-18.786892,28.38,101550.875,1.2065924
520653073,-18.623068,28.38,101548.875,1.2065686
520667502,-18.290136,28.38,101544.875,1.2065212
520683127,-18.538513,28.38,101547.875,1.2065568
520709200,-18.707623,28.38,101549.87,1.2065804
520721531,-18.786892,28.38,101550.875,1.2065924
520735617,-18.290136,28.38,101544.875,1.2065212
520761209,-18.374691,28.38,101545.875,1.206533
520773214,-18.538513,28.38,101547.875,1.2065568
520785348,-18.205582,28.38,101543.87,1.2065091
520811949,-18.538513,28.38,101547.875,1.2065568
520825422,-18.623068,28.38,101548.875,1.2065686
520839512,-18.786892,28.38,101550.875,1.2065924
520867240,-18.374691,28.38,101545.875,1.206533
520881369,-18.786892,28.38,101550.875,1.2065924
520894485,-18.538513,28.38,101547.875,1.2065568
520917120,-18.538513,28.38,101547.875,1.2065568
520929543,-18.786892,28.38,101550.875,1.2065924
520943723,-18.290136,28.38,101544.875,1.2065212
520970914,-18.543798,28.39,101547.9,1.206557
520984275,-18.623068,28.39,101548.9,1.206569
520997116,-18.543798,28.39,101547.9,1.206557
521020072,-18.374691,28.39,101545.9,1.2065333
521032577,-18.623068,28.39,101548.9,1.206569
521045095,-18.792177,28.39,101550.9,1.2065927
521069034,-18.459244,28.39,101546.9,1.2065451
521080630,-18.543798,28.39,101547.9,1.206557
521093067,-18.707623,28.39,101549.89,1.2065806
521118911,-18.956001,28.39,101552.9,1.2066164
521131338,-18.871447,28.39,101551.9,1.2066046
521145030,-18.623068,28.39,101548.9,1.206569
521169095,-18.374691,28.39,101545.9,1.2065333
521180027,-18.623068,28.39,101548.9,1.206569
521192498,-18.543798,28.39,101547.9,1.206557
521216410,-18.707623,28.4,101549.914,1.206581
521229030,-18.29542,28.4,101544.92,1.2065216
521240371,-18.210867,28.4,101543.914,1.2065097
521266698,-18.628353,28.4,101548.92,1.2065692
521279615,-18.628353,28.4,101548.92,1.2065692
521292088,-18.707623,28.4,101549.914,1.206581
521318462,-18.628353,28.4,101548.92,1.2065692
521332128,-18.543798,28.4,101547.92,1.2065573
521343990,-18.956001,28.4,101552.92,1.2066168
521367278,-18.792177,28.4,101550.92,1.2065929
521380044,-19.040554,28.4,101553.92,1.2066286
521392000,-18.87673,28.4,101551.92,1.2066048
521418933,-18.628353,28.41,101548.945,1.2065694
521431144,-18.379974,28.41,101545.945,1.2065338
521443240,-18.628353,28.41,101548.945,1.2065694
521467788,-18.628353,28.41,101548.945,1.2065694
521480051,-18.628353,28.41,101548.945,1.2065694
521491712,-18.29542,28.41,101544.945,1.206522
521516004,-18.126312,28.4,101542.914,1.2064978
521527130,-18.459244,28.4,101546.92,1.2065455
521539689,-18.29542,28.4,101544.92,1.2065216
521565449,-18.464529,28.41,101546.945,1.2065457
521579128,-18.047043,28.41,101541.945,1.2064863
521591095,-18.628353,28.41,101548.945,1.2065694
521615137,-18.047043,28.41,101541.945,1.2064863
521627730,-17.962488,28.41,101540.945,1.2064744
521640002,-18.543798,28.41,101547.945,1.2065576
521664008,-18.210867,28.41,101543.94,1.20651
521676833,-18.464529,28.41,101546.945,1.2065457
521690159,-18.126312,28.41,101542.94,1.206498
521715077,-18.707623,28.41,101549.94,1.2065812
521727438,-18.464529,28.41,101546.945,1.2065457
521741492,-18.29542,28.41,101544.945,1.206522
521767067,-18.210867,28.41,101543.94,1.20651
521778332,-18.792177,28.41,101550.945,1.2065933
521791199,-18.464529,28.41,101546.945,1.2065457
